ID,Start time,Completion time,Email,Name,Last modified time,What is your gender?,In which year you were born: ________ (e.g.1998),What is your current employment status? ,How frequently do you buy clothes before COVID-19 pandemic?,How frequently do you buy clothes after the COVID-19 pandemic?,"To what extent does your budget share on fast fashion items than before the COVID-19 pandemic? (e.g. 20% for increase 20%, -20% for decrease 20%)",Column,2,"Statement when deciding to purchase a new fast fashion item before the COVID-19 pandemic
  ",Please specify the reason,"Statement when deciding to purchase a new fast fashion item after the COVID-19 pandemic
  ",Please specify the reason2,3,4,5,6,High quality fabric     ,Fashionable design,Superior craftsmanship,  Easy to maintain, Use recycled and eco-friendly materials, Products come from a fair-traded company ,Price ,Suitable for various occasions,High quality fabric     2,Fashionable design2,Superior craftsmanship , Easy to maintain     , Use recycled and eco-friendly materials     , Products come from a fair-traded company 2, Price,Suitable for various occasions2,Describe any changes you've noticed in your lifestyle due to the COVID-19 pandemic and how these have affected your clothing purchases. , How do you deal with the old clothes or the clothes you don’t like before the COVID-19 pandemic,Please specify the measurement,"How do you deal with the old clothes or the clothes you don’t like after the COVID-19 pandemic
  
",Please specify the measurement2,7,8,9,10, Have you observed an increase in marketing related to sustainability from fast fashion brands since the COVID-19 pandemic? How does this influence your purchasing decisions?,How has your perception of sustainable fashion changed since the COVID-19 pandemic? What could be your motivation for a sustainable fashion purchase? Please describe in detail.,"Describe any significant changes you've noticed in the quality, sustainability, or marketing of fast fashion products since the COVID-19 pandemic began."
11,8/2/24 10:02:41,8/2/24 10:12:18,anonymous,,,Woman,1977,Full-time employed,Weekly,Weekly,20% for increase 20%,Agree,Disagree,When I find a piece I like,,When I find a piece I like,,Agree,Agree,Strongly agree,Agree,More Important,More Important,More Important,less important,less important,Significant less important,less important,Neutral,More Important,More Important,More Important,less important,less important,less important,Neutral,less important,I buy my like it.never any change my lifestyl.,I throw them aside.,,I continue to wear them,,,Agree,Neutral,Neither agree nor disagree,Decreased and negatively influenced my decisions,I have not noticed any changes,I have not noticed any changes
12,8/2/24 14:25:07,8/2/24 14:44:34,anonymous,,,Woman,1975,Full-time employed,Monthly ,Every two month,30% for decrease,Neither agree nor disagree,Disagree,When I find a piece I like,,When I find a piece I like,,Agree,Agree,Agree,Agree,More Important,Neutral,More Important,Neutral,More Important,More Important,Neutral,More Important,More Important,Neutral,More Important,More Important,More Important,More Important,Neutral,More Important,Reduced the number of purchases and placed greater emphasis on quality and durability,I gave them to someone I know,,I gave them to someone I know,,,Agree,Somewhat important,Agree,I have not noticed any changes,"I thought it was even more important, as it could reduce carbon emissions",Reduce the number of purchases and focus more on quality and sustainability
13,8/2/24 14:37:31,8/2/24 14:50:34,anonymous,,,Woman,1978,Homemaker,Quarterly,Annually,-30%,Strongly agree,Agree,When I find a piece I like,,When I find a piece I like,,Neither agree nor disagree,Strongly disagree,Agree,Disagree,More Important,Neutral,less important,Significant more important,More Important,Neutral,More Important,More Important,More Important,Neutral,less important,More Important,Neutral,Neutral,More Important,More Important,Shop less other than that not much changes ,I donate them.,,I donate them.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,No change in marketing and no influence on my decisions,Not much changed. If the style is what I like then will choose more sustainable materials ,"Feel not much changes,online promotions won’t influence my choice. I have my own choice without much influences from outside "
14,8/2/24 16:37:39,8/2/24 16:50:17,anonymous,,,Man,1981, Self-employed,Quarterly,Quarterly, no change,Neither agree nor disagree,Agree,When I am bored with my current clothes,,When I am bored with my current clothes,,Disagree,Disagree,Agree,Neither agree nor disagree,More Important,Neutral,Neutral,More Important,Neutral,More Important,Neutral,Neutral,More Important,Neutral,Neutral,More Important,Neutral,More Important,Neutral,Neutral,"I used to buy more ZARA, but now I buy more Uniqlo.",I throw them aside.,,I throw them aside.,,,Disagree,Somewhat not important,Neither agree nor disagree,No change in marketing and no influence on my decisions,"It doesn’t make much sense. These changes, when achieved in the most ideal state, may not be as good as a little bit of damage to other human behaviors.","I'm very sorry, I only complete it in one shopping trip when needed, so I won't pay attention to their changes. I think that maybe any company that can make products that protect the earth does not need customers to know. , just do it silently. In the end, whether your company will still be around in 100 years will definitely not be because of your selling point, but because your products are really good."
15,8/3/24 1:55:47,8/3/24 2:16:10,anonymous,,,Man,1966,Full-time employed,Every two month,Every two month,－20%,Agree,Neither agree nor disagree,When I am bored with my current clothes,,When I am bored with my current clothes,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neutral,Neutral,Neutral,Neutral,less important,Neutral,less important,Neutral,less important,Neutral,Neutral,Neutral,less important,Neutral,Neutral,Neutral,"There shouldn't be any impact, buying any clothes is more casual",I have them in my closet but never use them.,,I continue to wear them,,,Neither agree nor disagree,Neutral,Agree,No change in marketing and no influence on my decisions,"When I need it, I buy it.",There has been little change in purchasing habits
16,8/3/24 2:32:11,8/3/24 2:50:56,anonymous,,,Man,1974,Full-time employed,Every two month,Quarterly,-15%,Agree,Strongly agree,When I find a piece I like,,When I am bored with my current clothes,,Strongly agree,Agree,Strongly agree,Strongly agree,More Important,More Important,More Important,Significant more important,More Important,Neutral,More Important,More Important,Neutral,Neutral,Neutral,More Important,More Important,Neutral,Significant more important,More Important,Not much change after the pandemic.,I donate them.,,I donate them.,,,Agree,Neutral,Neither agree nor disagree,I have not noticed any changes,Not much changes after that pandemic ,Not much changes after this pandemic 
17,8/3/24 2:51:59,8/3/24 3:07:44,anonymous,,,Woman,1975, Self-employed,Every two month,Quarterly,-20%,Strongly agree,Strongly agree,When I find a piece I like,,When I find a piece I like,,Strongly agree,Disagree,Agree,Strongly agree,Neutral,More Important,More Important,Neutral,Neutral,Neutral,More Important,Significant more important,Significant more important,More Important,Neutral,Neutral,less important,less important,More Important,Neutral,Online shopping becomes habit ,I donate them.,,I gave them to someone I know,,,Agree,Somewhat not important,Neither agree nor disagree,No change in marketing and no influence on my decisions,Holiday plan or occasion requirements ,More concern with long term usage 
18,8/3/24 4:54:43,8/3/24 5:27:16,anonymous,,,Woman,1986,Full-time employed,Quarterly,Annually,-10%,Agree,Agree,When I find a piece I like,,When I find a piece I like,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Not much has changed, the desire to shop has decreased.",I donate them.,,I donate them.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,No change in marketing and no influence on my decisions,Not much has changed.,Not much has changed.
19,8/3/24 5:36:18,8/3/24 5:47:42,anonymous,,,Man,1990,Full-time employed,Monthly ,Annually,没有变化,Neither agree nor disagree,Agree,When I find a piece I like,,When my clothes wear out,,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,新冠不是决定消费的主要原因，有机会就可以购买。,I have them in my closet but never use them.,,I have them in my closet but never use them.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,I have not noticed any changes,如果对自己的平常生活没有太大的影响才去购买,以前的质量要求没有那么高，现在更注重质量和安全性
20,8/3/24 5:34:13,8/3/24 5:59:55,anonymous,,,Woman,1991,Full-time employed,Every two month,Every two month,-5%,Neither agree nor disagree,Disagree,When I am bored with my current clothes,,When I am bored with my current clothes,,Agree,Agree,Agree,Neither agree nor disagree,Neutral,Neutral,More Important,less important,less important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,less important,less important,less important,less important,less important,online shopping is always on sale or has more discount,I have them in my closet but never use them.,,I have them in my closet but never use them.,,,Disagree,Neutral,Disagree,No change in marketing and no influence on my decisions,"Sustainable fashion is a good idea, we as consumers can support that. Business promotion efforts need to be greater, I believe there is always a point to impress the consumer","Online shopping is more and more, and the price is always cheaper than the real store offline "
21,8/3/24 6:15:55,8/3/24 6:27:19,anonymous,,,Woman,1983,Full-time employed,Quarterly,Annually,-20%,Strongly agree,Strongly agree,When I am bored with my current clothes,,When my clothes wear out,,Neither agree nor disagree,Disagree,Agree,Agree,less important,More Important,Neutral,More Important,More Important,More Important,Neutral,less important,less important,Significant more important,Neutral,More Important,More Important,More Important,More Important,More Important,购买品牌，质量好的单品，少而精。不再喜欢没有质感的衣服，也许以前款式第一，但是现在我要求质感第一。,I donate them.,,I throw them aside.,,,Agree,Somewhat important,Strongly agree,Greatly increased and positively influenced my decisions,出于环境保护，地球和人类的健康生活息息相关。,快时尚也开始提倡环保，品质，工艺。我们不要制造一堆垃圾，污染地球环境，浪费人力物力，快时尚也可以升级，在一个理念和范围内心，既时尚又有品质。而且可以和希望工程合作，旧衣服回收，新衣服打折，企业直接捐给山区的孩子。
22,8/3/24 6:33:32,8/3/24 6:40:31,anonymous,,,Woman,1984,Homemaker,Quarterly,Annually,减少,Strongly agree,Agree,When my clothes wear out,,When my clothes wear out,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,less important,Significant more important,Significant less important,More Important,Neutral,Neutral,Significant more important,Significant more important,Neutral,Significant more important,Significant less important,Significant less important,Neutral,Neutral,Neutral,Neutral,没有。。。。。。。。。。。。。。。。。。,I continue to wear them ,,I continue to wear them,,,Strongly agree,Extremely important,Strongly agree,I have not noticed any changes,没有。。。。。。。。。。。。。。。。。。,没有。。。。。。。。。。。。。。。。。。
23,8/3/24 9:01:11,8/3/24 9:08:55,anonymous,,,Woman,1987,Full-time employed,Quarterly,Annually,-20%,Strongly agree,Strongly agree,When I find a piece I like,,When I find a piece I like,,Disagree,Disagree,Agree,Agree,More Important,Neutral,Neutral,More Important,less important,less important,Neutral,less important,More Important,Neutral,Neutral,More Important,less important,less important,Neutral,More Important,从头到尾我个人都是选择，不买不需要的。需要的东西我会考虑。,I have them in my closet but never use them.,,I have them in my closet but never use them.,,,Agree,Somewhat not important,Agree,No change in marketing and no influence on my decisions,时尚届的变化与否对于我个人没有任何影响，我有自己的想法,没有注意到关于时尚的任何额外看法，对我无影响
24,8/3/24 11:42:24,8/3/24 11:54:01,anonymous,,,Woman,1990,Full-time employed,Quarterly,Annually,-20%,Agree,Agree,When I find a piece I like,,When I find a piece I like,,Agree,Agree,Neither agree nor disagree,Agree,Neutral,Neutral,Neutral,Significant less important,Neutral,Neutral,More Important,less important,More Important,Significant less important,Neutral,Significant more important,Significant less important,less important,less important,Neutral,经济市场消极，相对于时尚款式更注重产品的便利性及性价比，及后期的使用频率。,I donate them.,,I donate them.,,,Agree,Somewhat important,Agree,Somewhat increased and somewhat influenced my decisions,高的性价比，相对便宜的价格可以拥有相对时尚的设计,不再一味地只注重款式，在可持续性和产品质量上有了提升。
25,8/3/24 16:24:12,8/3/24 16:38:24,anonymous,,,Woman,1974,Full-time employed,Quarterly,Quarterly,-50%,Agree,Agree,When I find a piece I like,,When I find a piece I like,,Agree,Agree,Agree,Agree,More Important,More Important,More Important,Neutral,less important,Neutral,More Important,less important,Neutral,More Important,Neutral,More Important,Neutral,less important,More Important,less important,细心打扮后出门的习惯逐渐被改变，对服装购买的需求和要求减少,I donate them.,,I donate them.,,,Agree,Neutral,Agree,Greatly increased and positively influenced my decisions,疫情后逐渐发现和认可快时尚的风格，认为它价格更合理,疫情后快时尚产品质量和疫情前差不多，但营销手段更多了，经常有促销活动
26,8/3/24 16:39:41,8/3/24 16:44:58,anonymous,,,Man,2000,Students,Quarterly,Quarterly,0,Strongly agree,Strongly agree,When I find a piece I like,,When I find a piece I like,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Significant less important,Significant less important,Significant less important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,由于新冠疫情，导致大多数服装实体店关门歇业，购买服装更多转变为网上,I throw them aside.,,I have them in my closet but never use them.,,,Agree,Somewhat important,Agree,No change in marketing and no influence on my decisions,没有看法变化没有看法变化没有看法变化没有,没有变化没有变化没有变化没有变化没有变更
27,8/3/24 16:39:48,8/3/24 16:53:56,anonymous,,,Man,2002,Students,Quarterly,Quarterly,5%,Agree,Neither agree nor disagree,When my clothes wear out,,When my clothes wear out,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,less important,Neutral,More Important,More Important,less important,less important,Neutral,More Important,Neutral,less important,More Important,More Important,Neutral,Neutral,Neutral,More Important,I am more inclined to purchase online during the pandemic because I am concerned that offline purchases may lead to cross infection with viruses,I donate them.,,I donate them.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,I have not noticed any changes,I have no other opinion on this,I didn't notice much change about this
28,8/3/24 16:47:42,8/3/24 17:12:37,anonymous,,,Man,1999,Students,Monthly ,Every two month,-20%,Agree,Agree,When my clothes wear out,,When my clothes wear out,,Agree,Agree,Agree,Agree,Significant more important,less important,Significant more important,More Important,Significant more important,less important,More Important,More Important,More Important,Neutral,Significant more important,More Important,Significant more important,less important,More Important,More Important,Weighing Clothes Purchase Necessity When Shopping for Clothes.,I continue to wear them ,,I continue to wear them,,,Agree,Neutral,Neither agree nor disagree,I have not noticed any changes,"Quality, sustainability and good.","More sustainable goods, which allows us to spend less."
29,8/3/24 23:40:18,8/4/24 0:25:43,anonymous,,,Man,1998,Full-time employed,Every two month,Every two month,Mood,Strongly agree,Neither agree nor disagree,When my clothes wear out,,When my clothes wear out,,Agree,Agree,Agree,Agree,less important,less important,less important,More Important,Neutral,less important,More Important,More Important,More Important,less important,less important,More Important,Neutral,Neutral,Neutral,More Important,"I prefer to spend effectively and spend money when useful. When buying clothes, I care more about quality rather than brand.",I throw them aside.,,I throw them aside.,,,Agree,Somewhat important,Neither agree nor disagree,No change in marketing and no influence on my decisions,"Buy more sustainable fashion products, not only because of the personal economic downturn, but more because of being environmentally friendly, durable, and not wasteful","The quality of fast fashion products is getting worse, cutting corners, while prices are still rising"
30,8/4/24 0:50:55,8/4/24 0:55:52,anonymous,,,Woman,2002,Students,Quarterly,Every two month,无,Agree,Agree,When I find a piece I like,,When I find a piece I like,,Agree,Neither agree nor disagree,Agree,Agree,More Important,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,More Important,More Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,Pay more attention to quality,I donate them.,,I throw them aside.,,,Agree,Neutral,Neither agree nor disagree,No change in marketing and no influence on my decisions,The motivation may be to let more people buy it.,The quality is super good. There are many fashion brands.
31,8/4/24 3:37:21,8/4/24 3:39:54,anonymous,,,Woman,1999,Full-time employed,Monthly ,Monthly ,I don't know ,Neither agree nor disagree,Neither agree nor disagree,When I find a piece I like,,When my clothes wear out,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Idk..................,I gave them to someone I know,,I gave them to someone I know,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,No change in marketing and no influence on my decisions,Idk.......................,"Idk ......,............."
32,8/4/24 3:37:39,8/4/24 3:44:51,anonymous,,,Woman,1968,Full-time employed,Monthly ,Monthly ,-15,Neither agree nor disagree,Neither agree nor disagree,When I find a piece I like,,When I find a piece I like,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,less important,less important,Neutral,Neutral,Neutral,Neutral,less important,less important,Neutral,Neutral,Neutral,Neutral,Neutral,less important,Neutral,Neutral,"No big impact, just do whatever you want",I donate them.,,I gave them to someone I know,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,No change in marketing and no influence on my decisions,"Daily life needs, no special reason",Didn't feel much change
33,8/8/24 4:58:46,8/8/24 5:11:36,anonymous,,,Woman,2001,Students,Weekly,Monthly ,I almost never buy fast fashion clothes,Agree,Agree,Others,I almost never buy fast fashion clothes,Others,I almost never buy fast fashion clothes,Agree,Neither agree nor disagree,Strongly agree,Agree,Neutral,More Important,More Important,Neutral,Neutral,Significant more important,Neutral,Neutral,Neutral,Significant more important,More Important,Neutral,More Important,Significant more important,More Important,less important,Less willing to buy fast fashion products. Be more cautious about shopping,I donate them.,,I donate them.,,,Agree,Somewhat important,Agree,No change in marketing and no influence on my decisions,Concerned about the protection of the world's natural resources and the environment.,Marketing is becoming more networked
34,8/8/24 11:04:50,8/8/24 11:15:18,anonymous,,,Man,2003, Self-employed,Monthly ,Monthly ,I don’t buy fast fashion,Strongly agree,Agree,Others,I don’t buy fast fashion,Others,I don’t buy fast fashion,Disagree,Disagree,Neither agree nor disagree,Disagree,Significant less important,Neutral,More Important,More Important,less important,less important,Neutral,Neutral,less important,Neutral,More Important,More Important,less important,Neutral,Neutral,Neutral,I used to shop at offline boutiques but during Covid I wasn’t able to visit stores so I used to purchase online and now since Covid is over I am going to offline stores again. I can’t really tell if I like the clothing just by looking online,I gave them to someone I know,,I gave them to someone I know,,,Neither agree nor disagree,Somewhat not important,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,I don’t really mind if it is sustainable but rather if I like the piece or not and if it’s within my budget. ,I like to purchase my cloths from Loewe and margiela but the quality of the clothing seems to get worse and worse. 
35,8/8/24 17:23:20,8/8/24 17:35:17,anonymous,,,Woman,2002,Students,Monthly ,Every two month,30%,Agree,Agree,When new trendy clothes releasing,,When I am bored with my current clothes,,Agree,Agree,Strongly agree,Agree,less important,More Important,Neutral,More Important,less important,less important,Significant more important,More Important,More Important,Neutral,More Important,More Important,Neutral,More Important,More Important,More Important,"I hang out with people less often,  so i spend less time choosing clothes and less money on clothes. ",I donate them.,,I throw them aside.,,,Agree,Somewhat important,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,I consider about the sustainability when i bought clothes. I think buying eco friendly products will protect our planet. ,I think there's more promotion/ads about eco friendly products. It’s like a trend.
36,8/15/24 10:41:37,8/15/24 11:22:35,anonymous,,,Woman,2001,Students,Quarterly,Every two month,-40%,Agree,Agree,When I find a piece I like,,When I find a piece I like,,Neither agree nor disagree,Disagree,Disagree,Agree,More Important,less important,Neutral,less important,less important,less important,less important,More Important,More Important,More Important,More Important,Neutral,less important,less important,Neutral,less important,"I would like to buy more valuable products, which makes me buy more expensive clothes with high quality.",I gave them to someone I know,,I have them in my closet but never use them.,,,Disagree,Somewhat not important,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,"actually, i do not pay attention to sustainability... if i purchase something, and it is a sustainable fashion product, that would be a coincidence. A product is sustainable or not would not influence my purchase decision.","Well, I do notice that some fast fashion brands emphasize their effort on sustainability and social responsibility more."
37,8/18/24 11:10:24,8/18/24 11:13:31,anonymous,,,Woman,1995,Full-time employed,Weekly,Monthly ,-50,Strongly agree,Neither agree nor disagree,When new trendy clothes releasing,,When I find a piece I like,,Agree,Disagree,Neither agree nor disagree,Agree,less important,less important,less important,less important,less important,Neutral,less important,less important,Significant more important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,I want to build a capsule wardrobe i had too many items in my wardrobe that i never wore,I donate them.,,I donate them.,,,Agree,Neutral,Agree,Somewhat increased and somewhat influenced my decisions,I want to have better quality lasting clothes so i don't buy fast fashion,too many cheap clothes that go to landfill
38,8/18/24 11:08:52,8/18/24 11:14:40,anonymous,,,Woman,1992, Self-employed,Monthly ,Monthly ,10%,Agree,Agree,When I find a piece I like,,When my clothes wear out,,Agree,Strongly agree,Agree,Strongly agree,More Important,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,More Important,More Important,More Important,Neutral,More Important,Neutral,Neutral,Significant more important,Significant more important,Budget is smaller and more conscious of what I am spending on fashion items,I donate them.,,I donate them.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,Good quality item at a good price,"Quality is slightly better, but sustainability doesn't seem to be priorty"
